,Anode Voltage (V),Anode Voltage Error (V),Anode Voltage ^2 (V^2),Anode Voltage ^2 Error (V^2),D_r (m),D_r error (m)
0,3700.0,100.0,0.01643989873053573,0.00022216079365588822,0.017,0.001
1,3900.0,100.0,0.016012815380508715,0.00020529250487831685,0.0165,0.001
2,4100.0,100.0,0.015617376188860606,0.0001904558071812269,0.016,0.001
3,4500.0,100.0,0.014907119849998597,0.00016563466499998442,0.015,0.001
4,4900.0,100.0,0.014285714285714285,0.0001457725947521866,0.014499999999999999,0.001
5,5200.0,100.0,0.013867504905630728,0.0001333413933233724,0.013999999999999999,0.001
6,5400.0,100.0,0.013608276348795434,0.0001260025587851429,0.013999999999999999,0.001
7,5600.0,100.0,0.01336306209562122,0.00011931305442518945,0.013999999999999999,0.001
